ILCE_ADI,AREA
Şereflikoçhisar,2172914007.233731
Haymana,2160614782.965213
Polatlı,3611915914.139631
Evren,221274211.8287185
Bala,1850519193.0899272
Gölbaşı,1357889473.0296307
Sincan,878714132.3778999
Çankaya,480840556.4530624
Elmadağ,645637055.8202363
Etimesgut,273874390.50182074
Beypazarı,1692957126.3357546
Ayaş,1041570777.7800691
Mamak,321252891.8883857
Altındağ,125279829.36399667
Yenimahalle,219903478.5331973
Keçiören,159155908.44079685
Kalecik,1108150774.7864997
Akyurt,365438255.69990945
Pursaklar,169773486.93620935
Nallıhan,2080128207.2734692
Kahramankazan,545736618.8634508
Çubuk,1199243098.613009
Güdül,539761454.6524369
Kızılcahamam,1613571098.3233879
Çamlıdere,783322319.5400658
